time,x1,v1
0,0,0
0.02,9.837471481213833e-4,0.09749147522059509
0.04,0.003858139189163612,0.18878235202803784
0.06,0.00848241086793966,0.27220745116771794
0.08,0.01468396896180929,0.3462746119474298
0.1,0.022262230348105927,0.4096838118453383
0.12,0.030992862465986204,0.4613418336704769
0.14,0.04063165602542851,0.500376158456165
0.16,0.05091925797546448,0.5261443032325113
0.18,0.06158611909710435,0.5382385855750407
0.2,0.07235654031442607,0.5364895036615982
0.22,0.08295385802027903,0.5209632350678204
0.24,0.09310513447714182,0.49195637286826877
0.26,0.10254561675959015,0.4499874239049464
0.28,0.11102300730920944,0.3957851196208413
0.3,0.11830156156597513,0.3302738228043838
0.32,0.12416584308244101,0.2545561229977875
0.34,0.1284240940791429,0.16989321942902258
0.36,0.13091118054639822,0.07768318139073305
0.38,0.13149111149751594,-0.02056231133019737
0.4,0.13005905321714264,-0.12324258259525589
0.42,0.1265428705413032,-0.22869342946014992
0.44,0.12090412588926502,-0.3352131656371091
0.46,0.11313858070258398,-0.441088703067708
0.48,0.10327614662308815,-0.5446213643094124
0.5,0.09138036135807087,-0.6441521114045589
0.52,0.07754733835519745,-0.7380857636675352
0.54,0.061904265834708705,-0.8249138965280698
0.56,0.04460744576919945,-0.9032360282058962
0.58,0.025839974461011717,-0.9717792291023892
0.6,0.005808969217691307,-1.0294150942891647
0.62,-0.015257460789458499,-1.0751747172450137
0.64,-0.03711352824669362,-1.1082610559178925
0.66,-0.059499302143990795,-1.128058661831595
0.68,-0.08214441835535224,-1.134140651073961
0.7,-0.10477190061102531,-1.1262728881092192
0.72,-0.12710203194398476,-1.1044153939671015
0.74,-0.14885622722486647,-1.068720994539797
0.76,-0.1697608541826265,-1.0195312699917898
0.78,-0.1895509450419405,-0.9573698912528419
0.8,-0.20797375627197753,-0.8829336399922534
0.82,-0.22479211652846626,-0.7970809895944064
0.84,-0.23978753089282603,-0.7008187225510143
0.86,-0.2527629977611331,-0.5952866818099198
0.88,-0.26354550405373395,-0.4817409287950094
0.9,-0.27198816970509226,-0.36153557247562507
0.92,-0.2779720179008471,-0.23610354635634456
0.94,-0.2814073509234955,-0.10693661788672837
0.96,-0.2822347230193279,0.02443506822730257
0.98,-0.28042550865081983,0.15646363237404326
1,-0.2759820430619176,0.28760401054766555
1.02,-0.26893736627695886,0.4163341043324271
1.04,-0.2593545674784713,0.5411742809107964
1.06,-0.2473257480393944,0.6607059644400927
1.08,-0.23297062379566866,0.7735890828596899
1.1,-0.21643479164200968,0.878578155200987
1.12,-0.1978876871315887,0.9745368121233209
1.14,-0.1775202761705912,1.060450641429679
1.16,-0.15554250120767504,1.1354381505847868
1.18,-0.13218052767463845,1.1987597530643703
1.2,-0.10767383385314554,1.2498247301278966
1.22,-0.08227218137340543,1.2881960918108455
1.24,-0.056232509629848604,1.3135933231411296
1.26,-0.02981579636465463,1.3258930250883059
1.28,-0.003283926189580788,1.3251274884985575
1.3,0.023103390913543458,1.311481239705905
1.32,0.049091616618677704,1.2852857742413768
1.34,0.07443425343257992,1.2470123683283636
1.36,0.09889555545285189,1.1972633071775327
1.38,0.12225304811304374,1.1367616008600903
1.4,0.14429982863994237,1.066339374064546
1.42,0.16484662260757016,0.986925118566566
1.44,0.18372357581309998,0.8995300071817924
1.46,0.2007817637902894,0.8052334743355846
1.48,0.21589440714522773,0.705168280059539
1.5,0.22895779298332397,0.6005052739718798
1.52,0.23989187617114816,0.49243804229195265
1.54,0.24864058365560676,0.3821676865800751
1.56,0.2551718149589832,0.2708879119065401
1.58,0.2594771491833874,0.15977062096093403
1.6,0.26157127046050843,0.049952193656502525
1.62,0.2614911272355198,-0.05747938239247771
1.64,0.25929484222142984,-0.16149637247858234
1.66,0.25506040093801624,-0.261142043303628
1.68,0.24888413476766189,-0.35554016347850015
1.7,0.2408790245740353,-0.4439031478000845
1.72,0.231172858917151,-0.5255388129945376
1.74,0.21990627060423126,-0.5998556716952035
1.76,0.20723068218080712,-0.666366741375212
1.78,0.19330619016705447,-0.7246918614039461
1.8,0.17829941777132607,-0.7745585322730488
1.82,0.16238136569958186,-0.8158012937380155
1.84,0.14572528865566914,-0.8483597724644508
1.86,0.12850462461718035,-0.87227533750016
1.88,0.11089100361023042,-0.8876865578081257
1.9,0.09305235862041006,-0.8948235286596331
1.92,0.07515116038125787,-0.894001180647857
1.94,0.05734279509545466,-0.8856116992921489
1.96,0.039774101546292406,-0.8701161896436928
1.98,0.022582081675971297,-0.8480357260049355
2,0.0058927963233388475,-0.8199419328365393
2.02,-0.01017955432878613,-0.7864472575725582
2.04,-0.025533343141855222,-0.748195044770585
2.06,-0.04008003602234066,-0.7058496009825056
2.08,-0.053744512593879884,-0.6600863688649425
2.1,-0.06646519262397696,-0.6115823507509255
2.12,-0.07819397448662774,-0.5610069094879921
2.14,-0.08889599440724574,-0.5090130649727695
2.16,-0.09854921654947303,-0.4562293984270037
2.18,-0.10714387022340387,-0.4032526481964115
2.2,-0.11468174664865147,-0.3506410809490568
2.22,-0.12117536803874834,-0.29890873254283384
2.24,-0.1266470536282855,-0.24852053820776732
2.26,-0.13112789682339107,-0.19988840931069274
2.28,-0.1346566735303209,-0.1533682772728271
2.3,-0.13727870112177862,-0.10925811378634653
2.32,-0.1390446675361889,-0.06779692179825525
2.34,-0.1400094498663878,-0.02916468755990309
2.36,-0.14023094117884638,0.006516782197028337
2.38,-0.13976890257978597,0.03918211569593
2.4,-0.13868385883172057,0.06881982787556817
2.42,-0.1370360523273688,0.09546903008044427
2.44,-0.13488446973432497,0.11921546774566705
2.46,-0.13228595388086084,0.1401869734202461
2.48,-0.12929441167423783,0.15854842628620863
2.5,-0.12596012706357945,0.1744963138878574
2.52,-0.1223291872699357,0.18825299380890415
2.54,-0.11844302049338942,0.20006076897724184
2.56,-0.11433806071530964,0.21017584735373454
2.58,-0.11004552894518396,0.21886231787773794
2.6,-0.10559133512339691,0.22638622306919776
2.62,-0.10099609679842012,0.2330098241625959
2.64,-0.09627526984624582,0.23898614593046766
2.66,-0.09143938482109931,0.24455388172654374
2.68,-0.08649438141031783,0.24993273406868877
2.7,-0.08144203046619009,0.2553192503270431
2.72,-0.07628043300103127,0.26088320136752524
2.74,-0.07100458852058564,0.2667645763540512
2.76,-0.06560701500952199,0.27307119715631695
2.78,-0.06007841065606792,0.2798769918736559
2.8,-0.054408343424705755,0.2872209379007953
2.82,-0.048585955041631726,0.29510667718570455
2.84,-0.042600666009957516,0.30350279584103523
2.86,-0.03644286828118582,0.3123437559198755
2.88,-0.03010459357443688,0.32153142819724184
2.9,-0.02358014497718553,0.3309372231245641
2.92,-0.016866680096602776,0.3404047589774677
2.94,-0.009964736278866355,0.349753008452758
2.96,-0.0028786884306812068,0.35877987366759373
2.98,0.004382868389103976,0.36726612294340655
3,0.011806818163245393,0.3749796206736319
3.02,0.019375310041826195,0.38167977827914346
3.04,0.027065636440759717,0.38712215302700625
3.06,0.034850199229771714,0.3910631128936334
3.08,0.04269657546072995,0.3932645081543584
3.1,0.05056767236451411,0.3934982589431694
3.12,0.05842197343376196,0.39155079581861374
3.14,0.06621387128914885,0.38722728351088453
3.16,0.07389408231624492,0.38035556383138985
3.18,0.08141013685839456,0.37078975887716514
3.2,0.08870693783685635,0.35841347996867534
3.22,0.09572737905132425,0.34314259707243133
3.24,0.10241301298662844,0.32492754223074066
3.26,0.10870476204655409,0.3037550823904206
3.28,0.11454365822965132,0.2796495710838399
3.3,0.11987160278018724,0.25267364733004605
3.32,0.12463213424940517,0.22292837712794916
3.34,0.1287711938110688,0.19055283812701146
3.36,0.13223787676742052,0.1557231560777394
3.38,0.1349851591425542,0.11865100543254026
3.4,0.1369705897529639,0.07958161295416422
3.42,0.13815693747110142,0.0387912771011647
3.44,0.13851278367398337,-0.0034155587028227297
3.46,0.13801305275490888,-0.0467096223130366
3.48,0.13663947255772887,-0.0907404811093212
3.5,0.13438095838126224,-0.13514050765261026
3.52,0.13123391515705402,-0.17952908706937326
3.54,0.12720245354532392,-0.22351700782276582
3.56,0.12229851570346423,-0.26671097643943753
3.58,0.1165419139690915,-0.30871819014742596
3.6,0.10996027323291571,-0.3491509176794256
3.62,0.10258888445613795,-0.3876310162301432
3.64,0.09447046878613911,-0.4237943310341137
3.66,0.08565485520429805,-0.45729492057592486
3.68,0.0761985758607761,-0.4878090539800954
3.7,0.06616438415461534,-0.5150389310618361
3.72,0.055620701422217436,-0.5387160790703887
3.74,0.04464099905352012,-0.5586043843599562
3.76,0.033303125869489955,-0.5745027404780785
3.78,0.02168858351337643,-0.5862472496582276
3.8,0.009881764397146761,-0.5937129867664693
3.82,-0.0020308414918671497,-0.5968152941654588
3.84,-0.013961460925698027,-0.5955105997171307
3.86,-0.025821863322950427,-0.5897967538266399
3.88,-0.03752418858068969,-0.5797128877216278
3.9,-0.04898176723040369,-0.5653387983600497
3.92,-0.060109923818046876,-0.5467938839545866
3.94,-0.07082675491893257,-0.5242356428044782
3.96,-0.08105387230372432,-0.4978577504369052
3.98,-0.09071710422461943,-0.4678877646603726
4,-0.0997471471626449,-0.4345844806517061
4.02,-0.10808016151455593,-0.3982349764500945
4.04,-0.11565830543227215,-0.3591513898340239
4.06,-0.12243020187373602,-0.3176674700979674
4.08,-0.1283513339765136,-0.2741349487228204
4.1,-0.13338436906163997,-0.2289197829679912
4.12,-0.13749940377537884,-0.1823983059266231
4.14,-0.14067413264889317,-0.13495334183609414
4.16,-0.14289393225013985,-0.0869703380758099
4.18,-0.1441518409082638,-0.03883358363643191
4.2,-0.14444856626429292,0.00907756219348518
4.22,-0.14379244962565524,0.056392375750336135
4.24,-0.14219892582888757,0.10275179275700574
4.26,-0.1396906475283039,0.14781222913176734
4.28,-0.13629695782744478,0.19124825400268813
4.3,-0.13205338757126017,0.23275486807227413
4.32,-0.12700141752416264,0.2720506318008795
4.34,-0.12118781992621415,0.30887894315742725
4.36,-0.11466425786672638,0.3430101022314355
4.38,-0.10748672493855926,0.37424281092079226
4.4,-0.09971497733023757,0.4024053101010853
4.42,-0.09141189542112221,0.42735596064090836
4.44,-0.08264287939296938,0.44898360097263124
4.46,-0.07347524585670806,0.46720754598717973
4.48,-0.06397761965056833,0.48197737063505797
4.5,-0.05421934966101126,0.49327208287600666
4.52,-0.04426988587650394,0.5010998940496447
4.54,-0.034198258086958304,0.5054964101505419
4.56,-0.024072525885167437,0.5065233982660906
4.58,-0.01395928000699986,0.5042668665038419
4.6,-0.003923099969704337,0.49883619986301786
4.62,0.005973752376508967,0.49036089514110237
4.64,0.015671865657442677,0.4789896157447078
4.66,0.025114985610898786,0.4648876426618634
4.68,0.034250194092799384,0.44823383448486886
4.7,0.043028434671058616,0.4292197510978303
4.72,0.051404441942933254,0.4080460232673123
4.74,0.05933706913004255,0.38492064122642206
4.76,0.06678952729459237,0.3600571827234972
4.78,0.07372905450962584,0.333671482547245
4.8,0.08012748694561134,0.3059808065028753
4.82,0.08596091637561837,0.27720117590485366
4.84,0.09120952957982094,0.24754550591841304
4.86,0.09585815120737966,0.21722250380571267
4.88,0.0998953792991035,0.18643452981687014
4.9,0.10331383750433924,0.1553766325668163
4.92,0.10610995673918455,0.12423553761993786
4.94,0.1082838986705695,0.09318854833683313
4.96,0.10983918384607398,0.06240257412630068
4.98,0.11078265675949958,0.03203364978288949
5,0.11112418548592709,0.002226483098781845
5.02,0.11087628264303592,-0.02688576583581806
5.04,0.11005416697144244,-0.05518155046431121
5.06,0.10867523355264856,-0.08255078309643725
5.08,0.10675897481872483,-0.10889473856905435
5.1,0.1043268987622266,-0.1341258406545398
5.12,0.10140197417965466,-0.15816691009018458
5.14,0.0980087104570509,-0.18095080111938433
5.16,0.09417282412831732,-0.20241985578237556
5.18,0.08992108337397967,-0.22252531518816177
5.2,0.08528122629274519,-0.24122642445484604
5.22,0.08028165783069204,-0.25848990364722796
5.24,0.07495141673746344,-0.2742891294484884
5.26,0.06932004397438646,-0.2886033786614953
5.28,0.06341733735681704,-0.30141710298482294
5.3,0.05727344434645652,-0.31271938045088815
5.32,0.05091867359970748,-0.32250329217608253
5.34,0.044383448415798527,-0.33076538117401894
5.36,0.03769821123456134,-0.33750503880423655
5.38,0.03089339446767324,-0.34272428093610896
5.4,0.02399936738197352,-0.3464273908324495
5.42,0.017046392248093425,-0.34862061862654153
5.44,0.01006457775665963,-0.34931191280767604
5.46,0.003083871132758595,-0.3485111037622338
5.48,-0.0038659997830440534,-0.346229869103975
5.5,-0.010755554024802471,-0.34248172783514547
5.52,-0.01755560124439228,-0.33728214095069986
5.54,-0.024237286728673566,-0.33064898828590106
5.56,-0.030772144942371443,-0.32260274879191403
5.58,-0.03713214355129195,-0.3131667892122859
5.6,-0.04328974430172954,-0.30236772903596254
5.62,-0.049217991983836785,-0.290236018750625
5.64,-0.05489056116196607,-0.2768061266352936
5.66,-0.06028187267580185,-0.26211715420125936
5.68,-0.06536718260946991,-0.24621323182275187
5.7,-0.07012266084858385,-0.22914380616337524
5.72,-0.07452555889293927,-0.21096415572685892
5.74,-0.07855426521420715,-0.1917355958631499
5.76,-0.08218845899703267,-0.17152578888118003
5.78,-0.0854092699757486,-0.1504089235927915
5.8,-0.08819932557286574,-0.12846591430082172
5.82,-0.09054298634557882,-0.10578427898331294
5.84,-0.09242641444072183,-0.08245830139615845
5.86,-0.09383769313910573,-0.05858890308897507
5.88,-0.09476705052378251,-0.034282997843226436
5.9,-0.09520685206070235,-0.00965389500536784
5.92,-0.09515181219218768,0.015179743263457446
5.94,-0.0945990952636055,0.040094444672829105
5.96,-0.09354832159646967,0.06496155726338236
5.98,-0.0920017769184785,0.08964940299942632
6,-0.08996438569345672,0.11402322522443051
6.02,-0.08744378447655571,0.13794626473574884
6.04,-0.08445039925346987,0.16128055690402285
6.06,-0.08099737944752522,0.18388793654665148
6.08,-0.07710062350411209,0.2056311762112608
6.1,-0.07277875831316082,0.2263750046331183
6.12,-0.06805311925064969,0.2459871527598746
6.14,-0.06294759829439589,0.2643397756307842
6.16,-0.05748864603343437,0.2813102012791812
6.18,-0.05170509439516174,0.29678227407909813
6.2,-0.045627977716041865,0.3106474706964333
6.22,-0.03929049926743354,0.3228056222493426
6.24,-0.03272767536090275,0.33316629831797695
6.26,-0.02597628061996387,0.3416494794677529
6.28,-0.019074616714900305,0.34818640758787883
6.3,-0.012062115976588168,0.35272057466492834
6.32,-0.004979367652331694,0.35520809509547535
6.34,0.0021323896617336142,0.35561848643221305
6.36,0.009231474310466704,0.35393507745694863
6.38,0.016275848387608295,0.3501552861232572
6.4,0.02322379904812977,0.34429078898820303
6.42,0.030033805995380917,0.33636780164039176
6.44,0.036665034695392396,0.3264269139092962
6.46,0.04307779822325761,0.3145226554997054
6.48,0.04923331343674349,0.30072399073675826
6.5,0.05509461064024133,0.2851127332410871
6.52,0.06062639168083454,0.26778394678642126
6.54,0.0657951866901772,0.2488454520922569
6.56,0.07057020651917204,0.22841525105825
6.58,0.07492271648704789,0.20662355469523364
6.6,0.07882687375730935,0.183609395050998
6.62,0.08225987603558876,0.1595196234631005
6.64,0.08520147150199976,0.13451114579972342
6.66,0.08763503166039904,0.10874470899680902
6.68,0.089547059319411,0.0823867937281595
6.7,0.09092741914135727,0.055607561082402335
6.72,0.09176950844514092,0.02857941493392242
6.74,0.0920699948047852,0.0014766883715227608
6.76,0.09182914925481744,-0.02552689471048095
6.78,0.09105069907380395,-0.05225894955199272
6.8,0.08974166779126963,-0.07854921524763513
6.82,0.08791263820746244,-0.10423248844027419
6.84,0.08557733206247962,-0.1291482886664024
6.86,0.0827526732468926,-0.15314277591327727
6.88,0.07945862163164133,-0.1760696127773305
6.9,0.07571785409380205,-0.19779033599727447
6.92,0.07155583731843002,-0.21817638724271413
6.94,0.06700045925509267,-0.2371090856789394
6.96,0.06208182776358873,-0.2544804539372439
6.98,0.05683222840115236,-0.2701950153101035
7,0.051285631679111265,-0.28416864092521577
7.02,0.04547758880715436,-0.2963299043030321
7.04,0.03944493895893344,-0.30662016076733517
7.06,0.0332255752893935,-0.3149940104049309
7.08,0.02685816785320938,-0.3214191546620906
7.1,0.02038191046430568,-0.3258765819522903
7.12,0.013836244107421897,-0.32836033463807623
7.14,0.007260599481548885,-0.3288773615344651
7.16,6.941393861043495e-4,-0.32744722088351874
7.18,-0.00582449391750882,-0.32410162942258186
7.2,-0.012257405759794206,-0.3188840461831801
7.22,-0.018567689073019932,-0.3118491517096438
7.24,-0.024719636368059014,-0.30306219803272594
7.26,-0.030678938561694957,-0.29259834549833197
7.28,-0.03641288760817262,-0.28054197559711425
7.3,-0.04189055057284316,-0.2669858815966816
7.32,-0.04708291947767755,-0.25203045211466113
7.34,-0.05196307021155283,-0.23578286795325804
7.36,-0.05650628718596589,-0.21835621327911797
7.38,-0.06069015699930194,-0.19986860273758664
7.4,-0.06449467861116508,-0.1804423206305232
7.42,-0.06790233605537352,-0.16020292648194745
7.44,-0.07089813748914796,-0.13927839629233324
7.46,-0.07346967349361752,-0.11779826889604778
7.48,-0.07560714130994634,-0.09589279656715069
7.5,-0.07730333079677254,-0.07369216513012417
7.52,-0.07855363299456913,-0.05132570271387337
7.54,-0.07935601945410807,-0.02892111791828441
7.56,-0.07971098125232136,-0.006603848230880567
7.58,-0.0796214930195105,0.015503627906524754
7.6,-0.07909295333899827,0.03728243525976023
7.62,-0.07813308617062746,0.0586177987881885
